date,p1,p2,p3,composite,country
2009-10-01,86.47827806800291,66.70578222079213,39.526013742111445,66.73411467299206,UK
2010-04-01,78.02280985707839,43.271327218653056,42.20151452984069,51.63825407161568,UK
2010-10-01,78.37885963477004,38.179278291854274,43.232516941914184,49.74514522260118,UK
2011-04-01,66.27738319953583,48.77205455281687,47.729789638506375,52.83570724020346,UK
2011-10-01,65.9088221730387,51.30355778108795,48.29916920822275,54.05355730721608,UK
2012-04-01,50.88229381981964,63.322377870616805,43.61209604261682,54.29927230951751,UK
2012-10-01,50.9578822866733,65.59385992504173,44.126181606959776,55.494562020025036,UK
2013-04-01,49.05109667109447,47.461134339488495,44.126181606959776,46.85813910263138,UK
2013-10-01,54.555949259342256,46.624029640068535,42.11545340562189,47.25443667455297,UK
2014-01-01,56.03389486409827,46.72916196262824,40.152011459116885,47.08220003694234,UK
2014-04-01,57.30273516950131,40.655432475951514,39.0085437445168,44.32319152990855,UK
2014-07-01,59.89650110941929,37.19859392985415,37.41760742675767,42.93877477381649,UK
2014-10-01,63.35881838014914,37.35990149197554,34.736907550129416,43.0727325314651,UK
2015-01-01,54.34632716374764,35.79646207469327,31.37054415597005,39.106152971339895,UK
2015-04-01,57.74050236692182,31.453095305104256,30.072394840098916,37.61073693105705,UK
2015-07-01,60.81144080680064,24.432855093361795,29.55575002846845,35.064370002253504,UK
2015-10-01,63.65574631027669,23.529991526462553,28.695480178812748,35.11107681812114,UK
2016-01-01,52.24719079199788,24.356971648135563,28.822549306026396,32.669199731468396,UK
2016-04-01,47.04739536426953,24.403425381943897,28.14353571392252,31.18645097711889,UK
2016-07-01,48.60675202266404,27.358041234963988,28.501742306446925,33.01332925333388,UK
2016-10-01,50.66781210277833,27.379317099738945,29.899725219704024,33.95756328648831,UK
2017-01-01,45.18819161544111,30.206016131180952,32.385986873420265,34.60555122491779,UK
2017-04-01,46.25112168341186,35.70553582805278,34.09802753671671,37.859679804491726,UK
2017-07-01,56.91037840256001,44.21718535201486,34.90708891413012,44.597454683285726,UK
2017-10-01,59.51291061383282,49.37477747584433,35.936021667514396,47.87768401784247,UK
2018-01-01,55.026875068712826,49.66473044358668,35.8232098725914,46.85281042856963,UK
2018-04-01,58.451980784759755,51.177580196434945,35.66691708244359,48.34298140931874,UK
2018-07-01,62.06629277417747,47.70088916921666,36.8608712140385,48.04023468390341,UK
2018-10-01,61.67022287885838,44.148934344908994,36.99914568384136,46.38431988007605,UK
2019-01-01,43.70082025121418,44.21447805294839,36.55072377411318,41.786937318864275,UK
2019-04-01,48.35554510211087,42.19133580320776,37.8297340636329,42.42390760606108,UK
2019-07-01,51.550822303480984,38.920984662565075,37.57584833238234,41.67490317373923,UK
2019-10-01,50.06536753123683,41.289546562496845,36.25502625995718,41.97314571391994,UK
2020-01-01,81.7466093946914,40.60071758950526,36.95920538498598,50.66804157679171,UK
2020-04-01,81.36122017684943,35.65487859935305,33.298774412881436,47.055242826210375,UK
2020-07-01,82.44778997607807,39.53218317931845,32.39996547952735,49.34531455661006,UK
2020-10-01,82.342416836844,28.828885973372792,31.481836113156575,44.17436214959772,UK
2021-01-01,60.57054156662651,28.19236449127929,31.06882358172007,37.149846487248325,UK
2021-04-01,63.812866120473814,28.306700293310758,34.80726761597845,39.13341194690183,UK
2021-07-01,63.15481462613793,29.368059104856535,36.97174176370765,40.09585278283222,UK
2021-10-01,60.01748221956896,43.07188326886223,43.734723330137896,47.50713502492161,UK
2022-01-01,32.26349233083491,47.786174948896765,49.05092916832669,44.28493056021028,UK
2022-04-01,38.585376887049684,67.55227316987005,58.719336763039905,57.66066817711591,UK
2022-07-01,43.948306403135064,78.52629041669107,64.16771939042499,65.57422310542225,UK
2022-10-01,42.170338660698945,91.96899200813063,69.83413981659353,78.86336901787689,UK
2023-01-01,24.601153189025638,92.75203303911084,72.7957440139645,76.10344288860105,UK
2023-04-01,24.92323409304372,94.72640382438541,73.13133180409804,78.16029169765649,UK
2023-07-01,28.3059297065042,94.10815740327892,71.67534152474144,77.98183441716347,UK
2023-10-01,26.89375364501446,89.77952064910309,67.06565963325978,72.13368091787949,UK
2024-01-01,22.189483756359436,80.45461308961193,66.45960652047938,61.91713533036501,UK
2024-04-01,21.551496812356206,64.53377526477827,63.352779357042635,53.433906879352065,UK
2024-07-01,22.36659559451762,59.78851290431064,63.41992685699823,51.522457762668665,UK
2024-10-01,23.006440039548252,48.93111546019955,64.76925863666278,47.201389557975695,UK
2025-01-01,9.144613510957477,47.92572374578108,64.77718756672445,43.28588533335819,UK
2025-04-01,9.579611120088346,53.45978636539093,62.767889782847696,45.28217357930231,UK
