date,p1,p2,p3,p4,composite,country
2006-01-01,16.94051134919996,79.76766704850374,64.62638055622865,67.24987006376166,60.913354888625804,US
2006-04-01,38.15688742748633,80.24285680626868,67.40535315453972,67.24987006376166,66.13911807221291,US
2006-07-01,62.67862060642476,82.87201448154059,60.26286746807204,67.24987006376166,71.4926273103648,US
2006-10-01,78.7771284959011,83.94046394431204,45.13448305735134,67.24987006376166,71.83841482893561,US
2007-01-01,36.22161716335687,84.06352236035625,48.55138991121271,67.24987006376166,64.2861389295297,US
2007-04-01,59.060313849096495,84.15221047008535,50.647489564700535,67.24987006376166,69.45328807331931,US
2007-07-01,75.09155817741232,84.65255541408317,48.836303411903145,67.24987006376166,72.63203360318127,US
2007-10-01,85.00697490123089,85.66428393997538,61.1911151389685,67.24987006376166,78.56378912671971,US
2008-01-01,75.37117446556964,84.68826800572009,63.522466135073316,67.24987006376166,76.38985324449666,US
2008-04-01,72.13442673079233,79.32979929489005,66.30776595145595,67.24987006376166,72.2192305999863,US
2008-07-01,81.54890941496474,81.99257438248387,73.27360637560363,67.24987006376166,77.77184571475748,US
2008-10-01,64.7309944863222,83.81388122833889,51.3782590332634,67.24987006376166,70.48253671242067,US
2009-01-01,81.19101458338214,82.28495003339894,39.09255926769764,67.24987006376166,69.40352427474227,US
2009-04-01,82.59150070445013,77.85404057902133,32.439539336734384,69.03768626194916,66.98038678234599,US
2009-07-01,85.50075836886171,75.58494678597317,26.58919352536356,70.77032577468295,67.10662576957128,US
2009-10-01,88.37048081038769,72.8878567338897,39.357970500350824,72.44470661365168,71.69852037195082,US
2010-01-01,71.63772293402677,66.8953458531802,44.85190828667315,67.53936608989493,62.46176592506569,US
2010-04-01,71.06660897702872,59.4743357444501,40.38173800293198,67.74302319617638,58.67337844593155,US
2010-07-01,69.14511377075314,57.37352930024373,35.97351454379569,67.94588213584548,56.49231307235395,US
2010-10-01,70.082720088045,51.90660315301474,33.98809937946457,68.14793843938398,54.3104676539071,US
2011-01-01,52.00843595311177,47.763508243419565,38.294863869435076,68.34918776852949,50.362468596883865,US
2011-04-01,50.157612701559316,44.14149572995348,45.47789751190315,68.14793843938398,50.480108111648164,US
