date,p1,p2,p3,composite,country
2009-10-01,80.47960881555714,66.70578222079213,39.526013742111445,62.23511273365774,UK
2010-04-01,59.29011988121129,43.271327218653056,42.20151452984069,46.955081577648905,UK
2010-10-01,64.97768058812788,38.179278291854274,43.232516941914184,46.394850460940646,UK
2011-04-01,38.16415672957285,48.77205455281687,47.729789638506375,45.80740062271272,UK
2011-10-01,41.70776999666964,51.30355778108795,48.29916920822275,48.00329426312382,UK
2012-04-01,18.527872599867,63.322377870616805,43.61209604261682,46.210667004529355,UK
2012-10-01,21.120711279993706,65.59385992504173,44.126181606959776,48.03526926835514,UK
2013-04-01,20.79936919491425,47.461134339488495,44.126181606959776,39.79520723358632,UK
2013-10-01,32.182369054840855,46.624029640068535,42.11545340562189,41.66104162342762,UK
2014-01-01,37.54313337185712,46.72916196262824,40.152011459116885,42.45950966388205,UK
2014-04-01,42.445408109446454,40.655432475951514,39.0085437445168,40.60885976489484,UK
2014-07-01,50.071908808489155,37.19859392985415,37.41760742675767,40.48262669858396,UK
2014-10-01,59.41793891674935,37.35990149197554,34.736907550129416,42.08751266561516,UK
2015-01-01,41.36547467110009,35.79646207469327,31.37054415597005,35.860939848178006,UK
2015-04-01,49.74633207462218,31.453095305104256,30.072394840098916,35.61219435798213,UK
2015-07-01,57.37860868428431,24.432855093361795,29.55575002846845,34.20616197162442,UK
2015-10-01,64.19833399513163,23.529991526462553,28.695480178812748,35.24672373933488,UK
2016-01-01,40.49860456000306,24.356971648135563,28.822549306026396,29.732053173469687,UK
2016-04-01,44.34576849842957,24.403425381943897,28.14353571392252,30.511044260658903,UK
2016-07-01,48.45032035830771,27.358041234963988,28.501742306446925,32.9742213372448,UK
2016-10-01,51.29220377915067,27.379317099738945,29.899725219704024,34.113661205581394,UK
2017-01-01,39.13456777614768,30.206016131180952,32.385986873420265,33.09214526509443,UK
2017-04-01,40.911827982343965,35.70553582805278,34.09802753671671,36.52485637922476,UK
2017-07-01,53.452671610737795,44.21718535201486,34.90708891413012,43.73302798533017,UK
2017-10-01,57.4070524671349,49.37477747584433,35.936021667514396,47.35121948116799,UK
2018-01-01,46.748630602732106,49.66473044358668,35.8232098725914,44.78324931207445,UK
2018-04-01,51.641114323702624,51.177580196434945,35.66691708244359,46.64026479405446,UK
2018-07-01,56.669497390306816,47.70088916921666,36.8608712140385,46.69103583793574,UK
2018-10-01,57.43649823542225,44.148934344908994,36.99914568384136,45.32588871921702,UK
2019-01-01,33.22926332242255,44.21447805294839,36.55072377411318,39.169048086666365,UK
2019-04-01,38.96687277278402,42.19133580320776,37.8297340636329,40.076739523729366,UK
2019-07-01,43.88641169129328,38.920984662565075,37.57584833238234,39.758800520692304,UK
2019-10-01,42.864461462519074,41.289546562496845,36.25502625995718,40.1729191967405,UK
2020-01-01,87.86179769244771,40.60071758950526,36.95920538498598,55.254432800108944,UK
2020-04-01,87.82194195367029,35.65487859935305,33.298774412881436,51.90078415882601,UK
2020-07-01,89.18958554528268,39.53218317931845,32.39996547952735,54.40166123351352,UK
2020-10-01,89.33465666111269,28.828885973372792,31.481836113156575,49.41854201779925,UK
2021-01-01,61.699360379085334,28.19236449127929,31.06882358172007,37.43205119036304,UK
2021-04-01,69.8335978411974,28.306700293310758,34.80726761597845,40.63859487708273,UK
2021-07-01,71.53898423909703,29.368059104856535,36.97174176370765,42.191895186071996,UK
2021-10-01,69.61415763196104,43.07188326886223,43.734723330137896,49.90630387801963,UK
2022-01-01,28.702259006686894,47.786174948896765,49.05092916832669,43.39462222917328,UK
2022-04-01,40.29860330691591,67.55227316987005,58.719336763039905,58.088974782082474,UK
2022-07-01,53.052509279305795,78.52629041669107,64.16771939042499,67.85027382446494,UK
2022-10-01,54.24518953932275,91.96899200813063,69.83413981659353,81.88208173753284,UK
2023-01-01,25.24994542939278,92.75203303911084,72.7957440139645,76.26564094869285,UK
2023-04-01,29.0601417131286,94.72640382438541,73.13133180409804,79.1945186026777,UK
2023-07-01,39.343379159427165,94.10815740327892,71.67534152474144,80.7411967803942,UK
2023-10-01,41.09654685946383,89.77952064910309,67.06565963325978,75.68437922149182,UK
2024-01-01,28.528495054206893,80.45461308961193,66.45960652047938,63.501888154826865,UK
2024-04-01,32.44147717016001,64.53377526477827,63.352779357042635,56.156401968803024,UK
2024-07-01,39.706072764965654,59.78851290431064,63.41992685699823,55.85732705528066,UK
2024-10-01,44.75346046395458,48.93111546019955,64.76925863666278,52.638144664077274,UK
2025-01-01,24.85255194447477,47.92572374578108,64.77718756672445,47.21286994173751,UK
2025-04-01,30.23617507922068,53.45978636539093,62.767889782847696,50.4463145690854,UK
