date,HDTGPDGBQ163N
2008-10-01,98.26499748995984
2009-04-01,99.53008841672467
2009-10-01,99.07683486978968
2010-04-01,95.9426266961673
2010-10-01,96.05384466660408
2011-04-01,92.79395401151216
2011-10-01,92.70637980500304
2012-04-01,89.38399908969694
2012-10-01,89.40010445144028
2013-04-01,88.99392094022492
2013-10-01,90.16914595076462
2014-01-01,90.48753459034403
2014-04-01,90.76270030721918
2014-07-01,91.33214569125386
2014-10-01,92.11216667364648
2015-01-01,90.12414092507453
2015-04-01,90.8581017724951
2015-07-01,91.53576063254422
2015-10-01,92.18038968906588
2016-01-01,89.67501738512637
2016-04-01,90.8145778991738
2016-07-01,91.73316529803253
2016-10-01,92.00977081759048
2017-01-01,89.36355752414667
2017-04-01,89.6467292394364
2017-07-01,90.38123738884659
2017-10-01,90.9030186095246
2018-01-01,88.31340739969818
2018-04-01,89.06966673852764
2018-07-01,89.68951412068184
2018-10-01,90.15366788334732
2019-01-01,86.44298522642475
2019-04-01,87.57198665485485
2019-07-01,88.52801867210165
2019-10-01,88.59619476248265
2020-01-01,95.57710391226755
2020-04-01,95.7648398895928
2020-07-01,96.46386997584011
2020-10-01,96.73404054032211
2021-01-01,89.6718736326245
2021-04-01,90.94744902424083
2021-07-01,91.2389516058458
2021-10-01,90.67362387328258
2022-01-01,83.27488454054499
2022-04-01,84.89191063430266
2022-07-01,86.44251884478798
2022-10-01,86.32191378499606
2023-01-01,80.69375568247833
2023-04-01,81.21013505164716
2023-07-01,82.45958870383247
2023-10-01,82.33392409592116
2024-01-01,78.8641064556896
2024-04-01,79.35526934688278
2024-07-01,80.16155095652772
2024-10-01,80.39189207674951
2025-01-01,77.880637753267
2025-04-01,78.22000588792721
